DateTime,EnergyConsumption(kWh)
2017-01-01 01:00:00,30.189043
2017-01-01 02:00:00,26.230589
2017-01-01 03:00:00,24.344543
2017-01-01 04:00:00,21.139757
2017-01-01 05:00:00,19.405716
2017-01-01 06:00:00,18.916107
2017-01-01 07:00:00,21.258003
2017-01-01 08:00:00,22.6575
2017-01-01 09:00:00,27.907228
2017-01-01 10:00:00,31.414366
2017-01-01 11:00:00,32.285732
2017-01-01 12:00:00,32.960125
2017-01-01 13:00:00,31.807627
2017-01-01 14:00:00,33.17421
2017-01-01 15:00:00,35.304615
2017-01-01 16:00:00,33.79309
2017-01-01 17:00:00,36.7196
2017-01-01 18:00:00,40.307117
2017-01-01 19:00:00,44.04001
2017-01-01 20:00:00,45.860283
2017-01-01 21:00:00,43.64144
2017-01-01 22:00:00,43.203064
2017-01-01 23:00:00,39.370758
2017-01-02 00:00:00,36.040764
2017-01-02 01:00:00,30.786856
2017-01-02 02:00:00,29.756218
2017-01-02 03:00:00,28.21687
2017-01-02 04:00:00,24.698385
2017-01-02 05:00:00,24.311293
2017-01-02 06:00:00,28.918818
2017-01-02 07:00:00,33.775352
2017-01-02 08:00:00,39.403553
2017-01-02 09:00:00,51.67202
2017-01-02 10:00:00,68.19011
2017-01-02 11:00:00,78.48163
2017-01-02 12:00:00,80.99658
2017-01-02 13:00:00,71.30953
2017-01-02 14:00:00,75.81947
2017-01-02 15:00:00,77.36842
2017-01-02 16:00:00,70.686966
2017-01-02 17:00:00,67.8718
2017-01-02 18:00:00,71.03553
2017-01-02 19:00:00,73.65198
2017-01-02 20:00:00,73.38286
2017-01-02 21:00:00,69.388214
2017-01-02 22:00:00,68.95628
2017-01-02 23:00:00,61.674397
2017-01-03 00:00:00,54.825745
2017-01-03 01:00:00,46.597042
2017-01-03 02:00:00,43.377644
2017-01-03 03:00:00,39.090046
2017-01-03 04:00:00,33.666843
2017-01-03 05:00:00,31.750448
2017-01-03 06:00:00,33.820606
2017-01-03 07:00:00,37.910038
2017-01-03 08:00:00,43.103107
